"ID","Description","NES","pvalue","p.adjust","geneID","geneName","Count"
"GOMF:0016407","Acetyltransferase activity",1.88561995651169,0.0015625,0.499033115784385,"55140/114799/80168/84148/8260/64921/8850/23522/80155","ELP3/ESCO1/MOGAT2/KAT8/NAA10/CASD1/KAT2B/KAT6B/NAA15",9
"GOMF:0035497","Camp response element binding",-1.97979936762265,0.00271739130434783,0.499033115784385,"22926/1877/6938/8013/3725/10488/84699/64764","ATF6/E4F1/TCF12/NR4A3/JUN/CREB3/CREB3L3/CREB3L2",8
"GOMF:0005049","Nuclear export signal receptor activity",1.77486961289079,0.00327332242225859,0.499033115784385,"5901/64328/8021/1434/7514","RAN/XPO4/NUP214/CSE1L/XPO1",5
"GOMF:0004407","Histone deacetylase activity",-1.70918631072815,0.0033003300330033,0.499033115784385,"8819/51742/10013/23411/5926/23028/8841/3065/55869/79685/83933/25855/23309","SAP30/ARID4B/HDAC6/SIRT1/ARID4A/KDM1A/HDAC3/HDAC1/HDAC8/SAP30L/HDAC10/BRMS1/SIN3B",13
"GOMF:0000995","Rna polymerase iii general transcription initiation factor activity",1.87753060207549,0.00332225913621262,0.499033115784385,"2972/9328/55814/2975/2976/9330","BRF1/GTF3C5/BDP1/GTF3C1/GTF3C2/GTF3C3",6
"GOMF:0003743","Translation initiation factor activity",1.70187154808954,0.00417246175243394,0.594072226751715,"3692/728689/8891/4528/54505/1983/10480/9470/1975/8665/1977/28985/1967/8669/8661/8892/7458/8667","EIF6/EIF3CL/EIF2B3/MTIF2/DHX29/EIF5/EIF3M/EIF4E2/EIF4B/EIF3F/EIF4E/MCTS1/EIF2B1/EIF3J/EIF3A/EIF2B2/EIF4H/EIF3H",18
"GOMF:0000993","Rna polymerase ii complex binding",1.70788661718357,0.00591715976331361,0.655188828943193,"3192/51585/55140/6827/58490/22828/8518/2103/26610/79577/54623","HNRNPU/PCF11/ELP3/SUPT4H1/RPRD1B/SCAF8/ELP1/ESRRB/ELP4/CDC73/PAF1",11
"GOMF:0000096","Sulfur amino acid metabolic process",1.72003981721901,0.00700525394045534,0.655188828943193,"23743/191","BHMT2/AHCY",2
"GOMF:0032041","Nad-dependent histone deacetylase activity (h3-k14 specific)",-1.80651876717907,0.0079155672823219,0.680903693931398,"79885/10013/8841/3065/55869/83933","HDAC11/HDAC6/HDAC3/HDAC1/HDAC8/HDAC10",6
"GOMF:0036002","Pre-mrna binding",1.57863214913746,0.0093167701863354,0.725829133950545,"3192/3178/6427/55696/27257/1655/6895/6431/6434","HNRNPU/HNRNPA1/SRSF2/RBM22/LSM1/DDX5/TARBP2/SRSF6/TRA2B",9
"GOMF:0005004","Gpi-linked ephrin receptor activity",-1.8266311489992,0.01,0.742625899280576,"2043/2042/2045","EPHA4/EPHA3/EPHA7",3
"GOMF:0008536","Ran gtpase binding",1.66789135961631,0.0100719424460432,0.742625899280576,"1104/10204/5905/285190/10527/29107/3843/1434/23214/7514/51194/9670","RCC1/NUTF2/RANGAP1/RGPD4/IPO7/NXT1/IPO5/CSE1L/XPO6/XPO1/IPO11/IPO13",12
"GOMF:0030955","Potassium ion binding",-1.84094194561991,0.0103626943005181,0.748052418624313,"476/8566/141/5313/3739","ATP1A1/PDXK/ADPRH/PKLR/KCNA4",5
"GOMF:0070670","Response to interleukin-4",1.67446795320508,0.010507880910683,0.748052418624313,"4435/3557/6777/6356","CITED1/IL1RN/STAT5B/CCL11",4
"GOMF:0033558","Protein deacetylase activity",-1.77562474809257,0.0129533678756477,0.760615271253569,"23411/8841/3065/83933","SIRT1/HDAC3/HDAC1/HDAC10",4
"GOMF:0008312","7s rna binding",1.65032617734146,0.0132890365448505,0.760615271253569,"6729/23404","SRP54/EXOSC2",2
"GOMF:0071558","Histone demethylase activity (h3-k27 specific)",1.61317175472543,0.0140105078809107,0.760615271253569,"7404","UTY",1
"GOMF:0030515","Snorna binding",1.60331291216015,0.0149253731343284,0.790088021431305,"5822/51602/10607/11163/55127","PWP2/NOP58/TBL3/NUDT4/HEATR1",5
"GOMF:0006476","Protein deacetylation",-1.75223985258254,0.0158311345646438,0.793847632780582,"23408/10013/23411/8841/3065/83933","SIRT5/HDAC6/SIRT1/HDAC3/HDAC1/HDAC10",6
"GOMF:0016575","Histone deacetylation",-1.53669075147575,0.0170648464163823,0.793847632780582,"8819/51742/5245/10013/23411/10432/5926/23028/3065/79685/83933/25855/23309","SAP30/ARID4B/PHB/HDAC6/SIRT1/RBM14/ARID4A/KDM1A/HDAC1/SAP30L/HDAC10/BRMS1/SIN3B",13
"GOMF:0016070","Rna metabolic process",1.5613528502143,0.0182328190743338,0.793847632780582,"3192/3178/54663/4686/79039/5431/3188/5435/8446/2963/57062/3191/220988","HNRNPU/HNRNPA1/WDR74/NCBP1/DDX54/POLR2B/HNRNPH2/POLR2F/DUSP11/GTF2F2/DDX24/HNRNPL/HNRNPA3",13
"GOMF:0004540","Ribonuclease activity",1.55042458609131,0.0182648401826484,0.793847632780582,"563/23293/23381/6036/8635/122665/9887","AZGP1/SMG6/SMG5/RNASE2/RNASET2/RNASE8/SMG7",7
"GOMF:0004090","Carbonyl reductase (nadph) activity",-1.69633076792241,0.0185614849187935,0.798337200309358,"873/10202","CBR1/DHRS2",2
"GOMF:0016571","Histone methylation",-1.69740606142025,0.0196629213483146,0.808194822777171,"79813/54904/140690/28989/4204/3275/55170/10498","EHMT1/NSD3/CTCFL/NTMT1/MECP2/PRMT2/PRMT6/CARM1",8
"GOMF:0001042","Rna polymerase i core binding",1.56700121211168,0.021015761821366,0.822223328520934,"9221/54700/6949","NOLC1/RRN3/TCOF1",3
"GOMF:0016019","Peptidoglycan receptor activity",1.5734487852742,0.021015761821366,0.822223328520934,"57115/929","PGLYRP4/CD14",2
"GOMF:0035727","Lysophosphatidic acid binding",1.57325412015655,0.021015761821366,0.822223328520934,"80339","PNPLA3",1
"GOMF:0008080","N-acetyltransferase activity",1.56986067884981,0.0224719101123595,0.851252448201216,"114799/55226/112483/8260/6303","ESCO1/NAT10/SAT2/NAA10/SAT1",5
"GOMF:0006471","Protein adp-ribosylation",-1.6354717524396,0.0231884057971014,0.852609842835838,"10039/142/10038/56965/54625/83666/79668","PARP3/PARP1/PARP2/PARP6/PARP14/PARP9/PARP8",7
"GOMF:0070006","Metalloaminopeptidase activity",1.57485792316051,0.0237388724035608,0.852609842835838,"206338/4012/4048/63929/23549/9520","LVRN/LNPEP/LTA4H/XPNPEP3/DNPEP/NPEPPS",6
